Time,Frequencia CMB,Untitled 1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,Untitled 12
20/03/2024 12:57:56,38,0,"-0,416772","-0,336892","-0,549897","-0,888888","6,392827","3,855781","3,196761","3,064902","-8,658913","0,874326","3931,869281"
20/03/2024 12:57:56,38,0,"-0,510798","-0,323343","-0,434116","-0,917382","6,376984","3,923874","3,201576","3,064724","-8,645205","0,885435","4060,097612"
20/03/2024 12:57:56,38,0,"-0,497222","-0,299555","-0,438338","-0,925317","6,407305","3,911972","3,209749","3,073206","-8,638206","0,91632","3978,19178"
20/03/2024 12:57:56,38,0,"-0,475162","-0,332166","-0,51331","-0,935438","6,442686","3,861559","3,216972","3,067705","-8,644883","0,898919","3937,491494"
20/03/2024 12:57:57,38,0,"-0,496837","-0,346738","-0,394558","-0,949473","6,271208","3,943562","3,200389","3,067173","-8,630597","0,886205","4671,039265"
20/03/2024 12:57:57,38,0,"-0,479482","-0,330275","-0,435679","-0,941679","6,437893","3,965464","3,197507","3,079026","-8,642861","0,912692","4007,748475"
20/03/2024 12:57:57,38,0,"-0,452177","-0,354772","-0,449282","-0,947075","6,448311","3,942282","3,202627","3,076223","-8,627932","0,926979","3997,809501"
20/03/2024 12:57:57,38,0,"-0,506247","-0,368793","-0,481335","-0,916395","6,42215","3,99131","3,208257","3,076116","-8,639297","0,898277","3993,223399"
20/03/2024 12:57:57,38,0,"-0,536175","-0,342799","-0,447953","-0,879861","6,409302","3,897682","3,210325","3,055852","-8,678787","0,90595","5045,379269"
20/03/2024 12:57:57,38,0,"-0,473465","-0,296877","-0,407692","-0,946616","6,472741","3,941797","3,203136","3,047086","-8,633101","0,945536","3978,657824"
20/03/2024 12:57:57,38,0,"-0,553298","-0,313655","-0,506196","-0,957443","6,324429","3,927507","3,198863","3,063411","-8,654772","0,891406","4742,594422"
20/03/2024 12:57:58,38,0,"-0,522059","-0,300816","-0,421138","-0,881906","6,432767","3,936538","3,190555","3,063376","-8,668834","0,924539","4036,201222"
20/03/2024 12:57:58,38,0,"-0,484264","-0,300894","-0,412461","-0,946757","6,422383","3,966571","3,203814","3,07239","-8,658721","0,915774","4003,713764"
20/03/2024 12:57:58,38,0,"-0,538257","-0,379505","-0,436227","-0,945664","6,383541","4,012278","3,209138","3,079204","-8,667036","0,914169","3958,113795"
20/03/2024 12:57:58,38,0,"-0,458424","-0,310425","-0,474378","-0,930818","6,356015","3,908927","3,200118","3,06334","-8,639426","0,934588","4017,712371"
20/03/2024 12:57:58,38,0,"-0,469686","-0,368557","-0,457335","-0,909483","6,420985","4,009614","3,197608","3,07239","-8,6427","0,901552","3992,56863"
20/03/2024 12:57:58,38,0,"-0,545739","-0,309244","-0,427236","-0,929302","6,408969","4,034249","3,20551","3,070296","-8,671435","0,935069","4689,787314"
20/03/2024 12:57:59,38,0,"-0,465829","-0,277343","-0,510652","-0,923765","6,408969","3,937853","3,181093","3,059472","-8,645718","0,914041","3970,650567"
20/03/2024 12:57:59,38,0,"-0,458887","-0,322162","-0,464293","-0,935755","6,415693","3,95799","3,21314","3,062772","-8,663537","0,915646","4320,928313"
20/03/2024 12:57:59,38,0,"-0,515426","-0,327439","-0,485479","-0,940057","6,377616","3,804849","3,200796","3,071928","-8,682061","0,85166","5121,108962"
