time,pressure_set_point,pressure_predicted,error,delta_error,frequency,delta_frequency,pt_k_1,pt_k_2,angle_set_point,angle,angle_error,model,time
2024-04-20 11:08:52.790081,6.0,6.083782418891715,-0.08378241889171534,0.0005468923107869728,30.0,-1.4910365316605458e-17,6.084329311202502,6.084912135991001,30.0,29.416163511753943,-0.5610075349787671,MLP,2024-04-20 11:08:52.790081
2024-04-20 11:08:53.303286,6.0,6.083267865810871,-0.0832678658108712,0.0005145530808441379,30.0,-1.4909749041297996e-17,6.083782418891715,6.084329311202502,30.0,30.224363929901642,0.23977590225860723,MLP,2024-04-20 11:08:53.303286
2024-04-20 11:08:53.817999,6.0,6.082784933310413,-0.08278493331041314,0.00048293250045805536,30.0,-1.490917068399972e-17,6.083267865810871,6.083782418891715,30.0,29.813813446607483,-0.043097233031293314,MLP,2024-04-20 11:08:53.817999
2024-04-20 11:08:54.325740,6.0,6.082330746792126,-0.08233074679212571,0.00045418651828743606,30.0,-1.4908626793672474e-17,6.082784933310413,6.083267865810871,30.0,31.17498233147628,0.9527253290119191,MLP,2024-04-20 11:08:54.325740
2024-04-20 11:08:54.822985,6.0,6.081903868956899,-0.08190386895689894,0.0004268778352267688,30.0,-1.4908115641785782e-17,6.082330746792126,6.082784933310413,30.0,30.40992121460199,0.2702315173302239,MLP,2024-04-20 11:08:54.822985
2024-04-20 11:08:56.043750,6.0,6.081502862505626,-0.08150286250562644,0.0004010064512725009,30.0,-1.4907635500728605e-17,6.081903868956899,6.082330746792126,30.0,29.64907464577476,-0.6319503081625797,MLP,2024-04-20 11:08:56.043750
2024-04-20 11:08:56.570296,6.0,6.081126290139198,-0.08112629013919825,0.00037657236642818503,30.0,-1.4907184643735504e-17,6.081502862505626,6.081903868956899,30.0,29.103110495849613,-0.785201374500609,MLP,2024-04-20 11:08:56.570296
2024-04-20 11:08:57.071603,6.0,6.080771995908951,-0.08077199590895123,0.0003542942302470209,30.0,-1.4906760484477624e-17,6.081126290139198,6.081502862505626,30.0,29.150474017703882,-0.9917356976918192,MLP,2024-04-20 11:08:57.071603
2024-04-20 11:08:58.077628,6.0,6.080439261165332,-0.08043926116533218,0.0003327347436190564,30.0,-1.4906362158106316e-17,6.080771995908951,6.081126290139198,30.0,28.97154981143338,-1.2072370920176994,MLP,2024-04-20 11:08:58.077628
2024-04-20 11:08:58.594556,6.0,6.080126648609233,-0.08012664860923291,0.00031261255609926764,30.0,-1.4905987939981734e-17,6.080439261165332,6.080771995908951,30.0,29.547986644524077,-0.2758737758516254,MLP,2024-04-20 11:08:58.594556
2024-04-20 11:08:59.105359,6.0,6.0798327209415435,-0.07983272094154348,0.0002939276676894309,30.0,-1.490563610605527e-17,6.080126648609233,6.080439261165332,30.0,28.935704468051917,-1.0714348052743148,MLP,2024-04-20 11:08:59.105359
2024-04-20 11:08:59.605540,6.0,6.079557478162265,-0.07955747816226477,0.000275242779278706,30.0,-1.4905306653158202e-17,6.0798327209415435,6.080126648609233,30.0,30.81319176998066,0.9663678194387586,MLP,2024-04-20 11:08:59.605540
2024-04-20 11:09:00.115128,6.0,6.079297327023625,-0.07929732702362458,0.0002601511386401967,30.0,-1.4904995277645447e-17,6.079557478162265,6.0798327209415435,30.0,31.180853670992192,1.2666551151351406,MLP,2024-04-20 11:09:00.115128
2024-04-20 11:09:00.639342,6.0,6.079054423474288,-0.07905442347428782,0.00024290354933675928,30.0,-1.4904704557557124e-17,6.079297327023625,6.079557478162265,30.0,28.906510172267254,-0.8047091825659081,MLP,2024-04-20 11:09:00.639342
2024-04-20 11:09:01.631700,6.0,6.078824455616926,-0.07882445561692641,0.00022996785736140168,30.0,-1.4904429330054557e-17,6.079054423474288,6.079297327023625,30.0,29.340072137021277,-0.602423438234954,MLP,2024-04-20 11:09:01.631700
